learnable	type	translation	authoritative	is_regex
ägg			1	0
älskar			1	0
anders			1	0
anna			1	0
äpple			1	0
äpplen			1	0
äpplena			1	0
äpplet			1	0
är			1	0
äter			1	0
barn			1	0
barn			1	0
barnen			1	0
barnet			1	0
bil			1	0
böcker			1	0
böckerna			1	0
bok			1	0
boken			1	0
bor			1	0
bor			1	0
bra			1	0
brev			1	0
brev			1	0
brevet			1	0
bröd			1	0
brödet			1	0
då			1	0
dålig			1	0
dåliga			1	0
dåligt			1	0
de			1	0
den			1	0
det			1	0
det är			1	0
dricker			1	0
du			1	0
eller			1	0
en			1	0
engelska			1	0
ett			1	0
eva			1	0
fågel			1	0
fågeln			1	0
fåglar			1	0
fåglarna			1	0
fin			1	0
flera			1	0
flicka			1	0
flickan			1	0
flickor			1	0
från			1	0
gamla			1	0
gammal			1	0
gammalt			1	0
god			1	0
hallå			1	0
han			1	0
har			1	0
hej			1	0
heter			1	0
hon			1	0
hus			1	0
i			1	0
inga			1	0
ingen			1	0
inget			1	0
inte			1	0
ja			1	0
jag			1	0
kommer			1	0
kvinna			1	0
kvinnan			1	0
kvinnor			1	0
kvinnorna			1	0
lägenhet			1	0
läkare			1	0
läkare			1	0
läkaren			1	0
läkarna			1	0
lars			1	0
läser			1	0
liten			1	0
litet			1	0
malmö			1	0
man			1	0
män			1	0
många			1	0
männen			1	0
mannen			1	0
maria			1	0
meny			1	0
menyer			1	0
menyerna			1	0
menyn			1	0
mexiko			1	0
mikael			1	0
mjölk			1	0
mjölken			1	0
morgon			1	0
mycket			1	0
natt			1	0
nej			1	0
ni			1	0
ny			1	0
nya			1	0
nytt			1	0
och			1	0
om			1	0
pojkar			1	0
pojke			1	0
pojken			1	0
ris			1	0
riset			1	0
så			1	0
små			1	0
smörgås			1	0
smörgåsar			1	0
smörgåsarna			1	0
smörgåsen			1	0
snälla			1	0
spanien			1	0
spanska			1	0
stockholm			1	0
stor			1	0
stor			1	0
stora			1	0
stort			1	0
stort			1	0
svenska			1	0
sverige			1	0
tack			1	0
talar			1	0
tidning			1	0
tidningar			1	0
tidningarna			1	0
tidningen			1	0
trött			1	0
trötta			1	0
tycker			1	0
tycker inte om			1	0
ursäkta			1	0
vad			1	0
välkommen			1	0
var			1	0
varifrån			1	0
varsågod			1	0
vatten			1	0
vattnet			1	0
vi			1	0
