learnable	type	translation	authoritative	is_regex
közel			1	0
mögül			1	0
arról			1	0
e			1	0
abból			1	0
várlak			1	0
első			1	0
azokban			1	0
férfiak			1	0
nulla			1	0
itt			1	0
mínusz			1	0
köré			1	0
harmadik			1	0
titkárnők			1	0
valóban			1	0
zárva			1	0
játék			1	0
arról			1	0
vízbe			1	0
ritkán			1	0
bár			1	0
hogy			1	0
piros			1	0
kati			1	0
fiatalok			1	0
zeneszerzők			1	0
azokról			1	0
de			1	0
ezeknél			1	0
valamit			1	0
jövőre			1	0
közül			1	0
arra			1	0
öt			1	0
sajnos			1	0
miért			1	0
munkás			1	0
jók			1	0
délben			1	0
írót			1	0
kairóból			1	0
elöl			1	0
azoktól			1	0
művésznő			1	0
oda			1	0
pályaudvar			1	0
talán			1	0
asztal			1	0
hetven			1	0
szépek			1	0
gyereket			1	0
fűre			1	0
szakács			1	0
egyedül			1	0
kinek			1	0
alacsony			1	0
nyitva			1	0
olyan			1	0
ide			1	0
hány			1	0
ahol			1	0
hogy hívnak?			1	0
bankok			1	0
soha			1	0
piac			1	0
németországból			1	0
egy			1	0
szeretnék kérni			1	0
nyolc			1	0
tanárt			1	0
postás			1	0
másik			1	0
azokból			1	0
nőt			1	0
ide			1	0
kit			1	0
hány éves			1	0
óra			1	0
egy			1	0
iskolák			1	0
riporter			1	0
hatodik			1	0
fölött			1	0
sőt			1	0
negyvenedik			1	0
épületet			1	0
mindenfelé			1	0
menj			1	0
valahol			1	0
politikus			1	0
művészek			1	0
írók			1	0
kilencven			1	0
igen			1	0
vele			1	0
arról			1	0
katonák			1	0
előtt			1	0
erről			1	0
ide			1	0
végre			1	0
folyó			1	0
mellett			1	0
ahhoz			1	0
ennek ellenére			1	0
mögé			1	0
végül is			1	0
vagyok			1	0
téged			1	0
elé			1	0
péter			1	0
el			1	0
viszontlátásra			1	0
bírók			1	0
feketék			1	0
alól			1	0
tűzoltók			1	0
akarok			1	0
magas			1	0
fiatalt			1	0
amilyenek			1	0
mellől			1	0
ahhoz			1	0
szállodák			1	0
üzletek			1	0
régi			1	0
szállodát			1	0
eladót			1	0
azokban			1	0
hátul			1	0
bort			1	0
fiú			1	0
megálló			1	0
alá			1	0
napot			1	0
el			1	0
harminc			1	0
nekünk			1	0
és			1	0
nők			1	0
kenyeret			1	0
azokhoz			1	0
velem			1	0
attól			1	0
milyen			1	0
zeneszerző			1	0
őket			1	0
hét			1	0
almát			1	0
autók			1	0
erre			1	0
szívesen			1	0
a neved			1	0
mindig			1	0
mindenhova			1	0
vonatok			1	0
előtt			1	0
kevés			1	0
ez			1	0
titkárnő			1	0
magasak			1	0
lámpa			1	0
sült			1	0
hó			1	0
pedig			1	0
telefonok			1	0
ötven			1	0
óvónők			1	0
sok			1	0
még			1	0
három			1	0
turisták			1	0
elé			1	0
ezektől			1	0
engem			1	0
alma			1	0
nő			1	0
mindegy			1	0
semerre			1	0
ide			1	0
fiúk			1	0
fát			1	0
alól			1	0
felől			1	0
kinek			1	0
ő			1	0
sört			1	0
ezekhez			1	0
valahonnan			1	0
ügyvédek			1	0
telefon			1	0
paprikást			1	0
négy			1	0
huszadik			1	0
szék			1	0
estét			1	0
velünk			1	0
ebbe			1	0
húsz			1	0
vízhez			1	0
üzlet			1	0
előtt			1	0
hatvanadik			1	0
pályaudvarok			1	0
pirosak			1	0
új			1	0
te			1	0
azokba			1	0
titeket			1	0
péterhez			1	0
kicsik			1	0
amerikából			1	0
folyók			1	0
meg			1	0
arra			1	0
mindenhol			1	0
milyen			1	0
kicsit			1	0
elől			1	0
férfit			1	0
pétertől			1	0
éjszakát			1	0
vagy			1	0
mögé			1	0
mindenfelől			1	0
lányok			1	0
alatt			1	0
kik			1	0
mérnökök			1	0
énekesnő			1	0
ablakok			1	0
ennek			1	0
mellé			1	0
főnök			1	0
nyolcadik			1	0
valamerre			1	0
például			1	0
idén			1	0
tanárok			1	0
hányadik			1	0
nekik			1	0
eladók			1	0
székek			1	0
színésznő			1	0
le			1	0
zenészek			1	0
rendezők			1	0
postások			1	0
nagyon			1	0
melyik			1	0
mögül			1	0
ahol			1	0
vagy			1	0
kicsi			1	0
vonat			1	0
lámpák			1	0
mennyi			1	0
ki			1	0
jól			1	0
repülőgép			1	0
azoknak			1	0
akiknek			1	0
abba			1	0
amilyen			1	0
turista			1	0
szakácsok			1	0
lászló			1	0
azokon			1	0
tűzoltó			1	0
nem			1	0
elől			1	0
jó			1	0
vissza			1	0
oda			1	0
ezen			1	0
autót			1	0
azokba			1	0
kórházak			1	0
délután			1	0
arról			1	0
ebben			1	0
száz			1	0
színészek			1	0
magyarok			1	0
innen			1	0
orvos			1	0
azonban			1	0
azoktól			1	0
abba			1	0
könyvet			1	0
almák			1	0
azoknál			1	0
ott			1	0
pedig			1	0
tavaly			1	0
bocsánat			1	0
honnan			1	0
továbbá			1	0
repülőtér			1	0
rendezőt			1	0
újra			1	0
keveset			1	0
iskola			1	0
színésznők			1	0
persze			1	0
alatt			1	0
igaz			1	0
ügyvéd			1	0
mellett			1	0
mögött			1	0
ház			1	0
buszt			1	0
mi a neved			1	0
fiút			1	0
színész			1	0
ötvenedik			1	0
annál			1	0
korán			1	0
nézlek			1	0
kérek			1	0
párizsból			1	0
óvónő			1	0
látlak			1	0
ezekben			1	0
buszok			1	0
földről			1	0
semerről			1	0
gyakran			1	0
fölé			1	0
földre			1	0
ki			1	0
körül			1	0
vízből			1	0
nem			1	0
amerre			1	0
hat			1	0
ezekről			1	0
lány			1	0
erre			1	0
sokat			1	0
ezekre			1	0
izraelből			1	0
hol			1	0
őt			1	0
jeget			1	0
eladó			1	0
riportert			1	0
bent			1	0
tűz			1	0
mint			1	0
ezeken			1	0
órák			1	0
hanem			1	0
ön			1	0
angolok			1	0
egyik			1	0
nektek			1	0
politikusok			1	0
repülőgépek			1	0
valahova			1	0
sehonnan			1	0
mérnök			1	0
angol			1	0
főnökök			1	0
onnan			1	0
azokról			1	0
lányt			1	0
tudom			1	0
ezeknek			1	0
iskolát			1	0
csak			1	0
de			1	0
amerről			1	0
arra			1	0
ötödik			1	0
neked			1	0
alá			1	0
felé			1	0
telefont			1	0
fekete			1	0
oda			1	0
jános			1	0
kilencedik			1	0
meg			1	0
japánból			1	0
rizs			1	0
nyolcvanadik			1	0
víz			1	0
köszönöm			1	0
általában			1	0
azokon			1	0
veled			1	0
akkor			1	0
sem			1	0
piacok			1	0
fent			1	0
sofőrök			1	0
sportolók			1	0
fűről			1	0
áruházak			1	0
sehol			1	0
elnézést			1	0
újak			1	0
arra			1	0
kis			1	0
ha			1	0
autó			1	0
pincérek			1	0
azoknak			1	0
rendező			1	0
bank			1	0
esik az eső			1	0
kint			1	0
mik			1	0
diákot			1	0
sehova			1	0
előre			1	0
neki			1	0
között			1	0
néha			1	0
álom			1	0
magasat			1	0
reggelt			1	0
vizet			1	0
énekesnők			1	0
semmit			1	0
este			1	0
erről			1	0
rendőrök			1	0
azokra			1	0
azokra			1	0
ezek			1	0
zsuzsa			1	0
fiatal			1	0
ettől			1	0
harmincadik			1	0
melyik			1	0
mégis			1	0
ilyen			1	0
zenész			1	0
fölött			1	0
orvost			1	0
át			1	0
ügyvédet			1	0
ma			1	0
ezekbe			1	0
városok			1	0
régiek			1	0
bírót			1	0
pincér			1	0
viszlát			1	0
most			1	0
orvosok			1	0
mert			1	0
sofőr			1	0
szálloda			1	0
a			1	0
bécsből			1	0
abban			1	0
én			1	0
melyik			1	0
között			1	0
munkások			1	0
mellé			1	0
fölé			1	0
mi			1	0
művész			1	0
hatvan			1	0
második			1	0
milyenek			1	0
merre			1	0
áruház			1	0
kórház			1	0
mellől			1	0
be			1	0
épület			1	0
tanár			1	0
merről			1	0
veletek			1	0
hogy			1	0
azon			1	0
angliából			1	0
hetvenedik			1	0
szia			1	0
attól			1	0
negyven			1	0
abban			1	0
nyolcvan			1	0
házak			1	0
fák			1	0
az			1	0
vízre			1	0
ehhez			1	0
hamis			1	0
miről			1	0
lent			1	0
nincs			1	0
reggel			1	0
ki			1	0
nagyok			1	0
magyar			1	0
valamerről			1	0
vacsorát			1	0
közé			1	0
mit			1	0
menni			1	0
sportoló			1	0
is			1	0
ennél			1	0
asztalok			1	0
katona			1	0
fel			1	0
nos			1	0
alatt			1	0
kiknek			1	0
be			1	0
át			1	0
annak			1	0
szép			1	0
vízről			1	0
annak			1	0
oda			1	0
jég			1	0
vissza			1	0
azok			1	0
közé			1	0
akinek			1	0
