learnable	normalized	partOfSpeech	source
a	a		Duolingo
a neved	a neved		Duolingo
abba	abba		Duolingo
abban	abban		Duolingo
abból	abbol		Duolingo
ablak	ablak		Duolingo
ablakok	ablakok		Duolingo
ahhoz	ahhoz		Duolingo
ahol	ahol		Duolingo
akarok	akarok		Duolingo
akiknek	akiknek		Duolingo
akinek	akinek		Duolingo
akkor	akkor		Duolingo
alá	ala		Duolingo
alacsony	alacsony		Duolingo
alacsonyak	alacsonyak		Duolingo
alatt	alatt		Duolingo
áll	all		Duolingo
állok	allok		Duolingo
állsz	allsz		Duolingo
alma	alma		Duolingo
almák	almak		Duolingo
almát	almat		Duolingo
alól	alol		Duolingo
álom	alom		Duolingo
általában	altalaban		Duolingo
amerikából	amerikabol		Duolingo
amerre	amerre		Duolingo
amerről	amerrol		Duolingo
amikor	amikor		Duolingo
amilyen	amilyen		Duolingo
amilyenek	amilyenek		Duolingo
angliából	angliabol		Duolingo
angol	angol		Duolingo
angolok	angolok		Duolingo
annak	annak		Duolingo
annál	annal		Duolingo
arra	arra		Duolingo
arról	arrol		Duolingo
áruház	aruhaz		Duolingo
áruházak	aruhazak		Duolingo
asztal	asztal		Duolingo
asztalok	asztalok		Duolingo
át	at		Duolingo
attól	attol		Duolingo
autó	auto		Duolingo
autók	autok		Duolingo
autót	autot		Duolingo
az	az		Duolingo
azok	azok		Duolingo
azokba	azokba		Duolingo
azokban	azokban		Duolingo
azokból	azokbol		Duolingo
azokhoz	azokhoz		Duolingo
azoknak	azoknak		Duolingo
azoknál	azoknal		Duolingo
azokon	azokon		Duolingo
azokra	azokra		Duolingo
azokról	azokrol		Duolingo
azoktól	azoktol		Duolingo
azon	azon		Duolingo
azonban	azonban		Duolingo
bank	bank		Duolingo
bankok	bankok		Duolingo
bár	bar		Duolingo
be	be		Duolingo
bécsből	becsbol		Duolingo
bent	bent		Duolingo
bíró	biro		Duolingo
bírók	birok		Duolingo
bírót	birot		Duolingo
bocsánat	bocsanat		Duolingo
bort	bort		Duolingo
busz	busz		Duolingo
buszok	buszok		Duolingo
buszt	buszt		Duolingo
csak	csak		Duolingo
csinál	csinal		Duolingo
csinálok	csinalok		Duolingo
de	de		Duolingo
dél	del		Duolingo
délben	delben		Duolingo
délután	delutan		Duolingo
diák	diak		Duolingo
diákok	diakok		Duolingo
diákot	diakot		Duolingo
e	e		Duolingo
ebbe	ebbe		Duolingo
ebben	ebben		Duolingo
ebből	ebbol		Duolingo
egy	egy		Duolingo
egyedül	egyedul		Duolingo
egyik	egyik		Duolingo
ehhez	ehhez		Duolingo
éjszakát	ejszakat		Duolingo
el	el		Duolingo
eladó	elado		Duolingo
eladók	eladok		Duolingo
eladót	eladot		Duolingo
elé	ele		Duolingo
elnézést	elnezest		Duolingo
elöl	elol		Duolingo
előre	elore		Duolingo
előtt	elott		Duolingo
első	elso		Duolingo
én	en		Duolingo
énekesnő	enekesno		Duolingo
énekesnők	enekesnok		Duolingo
engem	engem		Duolingo
ennek	ennek		Duolingo
ennek ellenére	ennek ellenere		Duolingo
ennél	ennel		Duolingo
épület	epulet		Duolingo
épületek	epuletek		Duolingo
épületet	epuletet		Duolingo
erre	erre		Duolingo
erről	errol		Duolingo
és	es		Duolingo
esik az eső	esik az eso		Duolingo
este	este		Duolingo
estét	estet		Duolingo
étterem	etterem		Duolingo
ettől	ettol		Duolingo
éva	eva		Duolingo
évához	evahoz		Duolingo
ez	ez		Duolingo
ezek	ezek		Duolingo
ezekbe	ezekbe		Duolingo
ezekben	ezekben		Duolingo
ezekből	ezekbol		Duolingo
ezeken	ezeken		Duolingo
ezekhez	ezekhez		Duolingo
ezeknek	ezeknek		Duolingo
ezeknél	ezeknel		Duolingo
ezekre	ezekre		Duolingo
ezekről	ezekrol		Duolingo
ezektől	ezektol		Duolingo
ezen	ezen		Duolingo
fa	fa		Duolingo
fák	fak		Duolingo
fát	fat		Duolingo
fekete	fekete		Duolingo
feketék	feketek		Duolingo
fel	fel		Duolingo
felé	fele		Duolingo
felett	felett		Duolingo
felől	felol		Duolingo
fent	fent		Duolingo
férfi	ferfi		Duolingo
férfiak	ferfiak		Duolingo
férfit	ferfit		Duolingo
fiatal	fiatal		Duolingo
fiatalok	fiatalok		Duolingo
fiatalt	fiatalt		Duolingo
fiú	fiu		Duolingo
fiúk	fiuk		Duolingo
fiút	fiut		Duolingo
földre	foldre		Duolingo
földről	foldrol		Duolingo
fölé	fole		Duolingo
fölött	folott		Duolingo
folyó	folyo		Duolingo
folyók	folyok		Duolingo
főnök	fonok		Duolingo
főnökök	fonokok		Duolingo
fűre	fure		Duolingo
fűről	furol		Duolingo
gyakran	gyakran		Duolingo
gyereket	gyereket		Duolingo
ha	ha		Duolingo
hamis	hamis		Duolingo
hanem	hanem		Duolingo
hány	hany		Duolingo
hány éves	hany eves		Duolingo
hányadik	hanyadik		Duolingo
harmadik	harmadik		Duolingo
harminc	harminc		Duolingo
harmincadik	harmincadik		Duolingo
három	harom		Duolingo
hat	hat		Duolingo
hatodik	hatodik		Duolingo
hátra	hatra		Duolingo
hátul	hatul		Duolingo
hatvan	hatvan		Duolingo
hatvanadik	hatvanadik		Duolingo
ház	haz		Duolingo
házak	hazak		Duolingo
házat	hazat		Duolingo
hét	het		Duolingo
hetedik	hetedik		Duolingo
hetven	hetven		Duolingo
hetvenedik	hetvenedik		Duolingo
hó	ho		Duolingo
hogy	hogy		Duolingo
hogy hívnak?	hogy hivnak?		Duolingo
hol	hol		Duolingo
honnan	honnan		Duolingo
hova	hova		Duolingo
húsz	husz		Duolingo
huszadik	huszadik		Duolingo
ide	ide		Duolingo
idén	iden		Duolingo
igaz	igaz		Duolingo
igen	igen		Duolingo
ilyen	ilyen		Duolingo
innen	innen		Duolingo
író	iro		Duolingo
írók	irok		Duolingo
írót	irot		Duolingo
is	is		Duolingo
iskola	iskola		Duolingo
iskolák	iskolak		Duolingo
iskolát	iskolat		Duolingo
ismerlek	ismerlek		Duolingo
itt	itt		Duolingo
izraelből	izraelbol		Duolingo
jános	janos		Duolingo
japánból	japanbol		Duolingo
játék	jatek		Duolingo
jég	jeg		Duolingo
jeget	jeget		Duolingo
jó	jo		Duolingo
jók	jok		Duolingo
jól	jol		Duolingo
jövőre	jovore		Duolingo
kairóból	kairobol		Duolingo
kati	kati		Duolingo
katihoz	katihoz		Duolingo
katitól	katitol		Duolingo
katona	katona		Duolingo
katonák	katonak		Duolingo
kenyeret	kenyeret		Duolingo
