learnable	type	translation	authoritative	is_regex
yes	adverb		1	0
pizzas	noun		1	0
dollar	noun		1	0
menu			1	0
salad			1	0
please	adverb		1	0
delicious	adjective		1	0
a	determiner		1	0
one			1	0
two			1	0
excuse me			1	0
i need			1	0
and	conjunction		1	0
i have			1	0
or			1	0
large	adjective		1	0
soup	noun		1	0
sandwich			1	0
dollars	noun		1	0
is	verb		1	0
where is			1	0
train			1	0
bus			1	0
to			1	0
help	noun		1	0
restroom			1	0
the			1	0
ticket			1	0
reservation			1	0
taxi			1	0
in			1	0
hi	interjection		1	0
name	noun		1	0
and you			1	0
where are you from			1	0
spain			1	0
i am from			1	0
your	determiner		1	0
my name is			1	0
what	pronoun		1	0
canada			1	0
nice to meet you			1	0
what's your name			1	0
hello	interjection		1	0
sugar			1	0
milk			1	0
you're welcome			1	0
coffee			1	0
tea	noun		1	0
water			1	0
with			1	0
goodbye	interjection		1	0
the	determiner		1	0
she	pronoun		1	0
always	adverb		1	0
europe	proper noun		1	0
he	pronoun		1	0
already	adverb		1	0
i	pronoun		1	0
on time			1	0
we	pronoun		1	0
some	pronoun		1	0
work	verb		1	0
this	determiner		1	0
her	determiner		1	0
you've			1	0
an	determiner		1	0
hasn't			1	0
his	determiner		1	0
seven	numeral		1	0
me	pronoun		1	0
water	noun		1	0
haven't			1	0
boring	adjective		1	0
my	determiner		1	0
they've			1	0
i've			1	0
well	interjection		1	0
we've			1	0
homework	noun		1	0
english	noun		1	0
her	pronoun		1	0
he's			1	0
she's			1	0
closed			1	0
ice cream			1	0
short time			1	0
africa	proper noun		1	0
italy	proper noun		1	0
long time			1	0
they			1	0
five	numeral		1	0
for			1	0
him	pronoun		1	0
french	adjective		1	0
at	preposition		1	0
italian	adjective		1	0
japanese	adjective		1	0
baseball	noun		1	0
spanish			1	0
as	preposition		1	0
american	adjective		1	0
don't			1	0
but	conjunction		1	0
interesting	adjective		1	0
there	pronoun		1	0
likes	verb		1	0
hard	adjective		1	0
house			1	0
it's			1	0
windy	adjective		1	0
friendlier	adjective		1	0
hiking	noun		1	0
difficult			1	0
when	adverb		1	0
because	conjunction		1	0
