learnable	type	translation	authoritative	is_regex
șaptezeci			1	0
vaci			1	0
nouăzeci			1	0
treizeci			1	0
o			1	0
șaizeci			1	0
cai			1	0
eu			1	0
ziarele			1	0
el			1	0
citește			1	0
nu			1	0
vorbește			1	0
de			1	0
douăzeci			1	0
ei			1	0
patruzeci			1	0
cartofi			1	0
e			1	0
cinci			1	0
două			1	0
avem			1	0
are			1	0
ai			1	0
ouă			1	0
cincizeci			1	0
optzeci			1	0
pe			1	0
am			1	0
mănâncă			1	0
zece			1	0
sută			1	0
majoritate			1	0
mie			1	0
majoritatea			1	0
mii			1	0
sute			1	0
ale			1	0
mesele			1	0
sale			1	0
beau			1	0
vacile			1	0
sunt			1	0
și			1	0
deserturile			1	0
farfuriile			1	0
lapte			1	0
lor			1	0
cuptoarele			1	0
merele			1	0
paharele			1	0
ele			1	0
voastre			1	0
sau			1	0
noastre			1	0
tale			1	0
cărțile			1	0
mâncăm			1	0
mele			1	0
au			1	0
fetele			1	0
a doborî			1	0
cu			1	0
un			1	0
a urî			1	0
a hotărî			1	0
porci			1	0
a coborî			1	0
este			1	0
leu			1	0
doi			1	0
frigiderele			1	0
apă			1	0
bucătăriile			1	0
prăjiturile			1	0
mănânc			1	0
câinele			1	0
peștele			1	0
vulturul			1	0
micul dejun			1	0
castravetele			1	0
strugurele			1	0
șoarecele			1	0
fluturele			1	0
eficace			1	0
bărbat			1	0
cumsecade			1	0
cafeaua			1	0
ou			1	0
ceapă			1	0
ziarul			1	0
bea			1	0
băiatul			1	0
femeia			1	0
ea			1	0
femeie			1	0
bărbați			1	0
iuți			1	0
subțiri			1	0
moale			1	0
reci			1	0
tari			1	0
meniuri			1	0
bucătărie			1	0
noi			1	0
pahare			1	0
cuțite			1	0
aveți			1	0
ceai			1	0
la			1	0
animal			1	0
ceaiuri			1	0
mesaje			1	0
frigidere			1	0
ziare			1	0
animale			1	0
șnițele			1	0
citim			1	0
cuțit			1	0
păianjen			1	0
insectă			1	0
țânțar			1	0
pinguin			1	0
fluture			1	0
bufniță			1	0
liliac			1	0
vultur			1	0
pasăre			1	0
albină			1	0
farfurie			1	0
pahar			1	0
ziar			1	0
fata			1	0
șervețel			1	0
voi			1	0
ceașcă			1	0
furculiță			1	0
sticlă			1	0
linguriță			1	0
lingură			1	0
varză			1	0
înghețată			1	0
muștar			1	0
morcov			1	0
conopidă			1	0
bărbatul			1	0
frigider			1	0
maioneză			1	0
tort			1	0
cartof			1	0
vânătă			1	0
pâine			1	0
cuptor			1	0
rechini			1	0
tu			1	0
copilul			1	0
mesajul			1	0
pisici			1	0
fripturi			1	0
vită			1	0
vorbești			1	0
scrisoarea			1	0
copii			1	0
citiți			1	0
lei			1	0
lupi			1	0
plăcinte			1	0
meniul			1	0
mere			1	0
orez			1	0
urșii			1	0
șerpii			1	0
scriu			1	0
băieți			1	0
puiul			1	0
usturoii			1	0
miere			1	0
citesc			1	0
ursul			1	0
fete			1	0
mei			1	0
legumele			1	0
scrie			1	0
a plăcea			1	0
tăi			1	0
a putea			1	0
plăcere			1	0
a ști			1	0
mesaj			1	0
a citi			1	0
băiat			1	0
prune			1	0
tău			1	0
scrisorile			1	0
femeile			1	0
nouăsprezece			1	0
optsprezece			1	0
pui			1	0
carne			1	0
mese			1	0
copiii			1	0
morcovi			1	0
găini			1	0
șaptesprezece			1	0
portocale			1	0
cincisprezece			1	0
sticle			1	0
lămâi			1	0
paisprezece			1	0
albinele			1	0
șaisprezece			1	0
insecte			1	0
sandviciuri			1	0
unsprezece			1	0
treisprezece			1	0
iepure			1	0
doisprezece			1	0
douăsprezece			1	0
destul			1	0
an			1	0
milioane			1	0
mult			1	0
milion			1	0
mulți			1	0
sumă			1	0
cantitate			1	0
cantități			1	0
număr			1	0
numerele			1	0
milioanele			1	0
totalul			1	0
suma			1	0
multă			1	0
ani			1	0
papagalii			1	0
săi			1	0
lupii			1	0
porcii			1	0
lui			1	0
peștii			1	0
porc			1	0
măgarii			1	0
ai			1	0
mieii			1	0
băieții			1	0
noștri			1	0
curcanii			1	0
cartofii			1	0
voștri			1	0
bună			1	0
vostru			1	0
mea			1	0
al			1	0
cartea			1	0
a			1	0
sa			1	0
brânza			1	0
capră			1	0
ta			1	0
ei			1	0
voastră			1	0
roșia			1	0
capra			1	0
noastră			1	0
apa			1	0
sarea			1	0
taurul			1	0
său			1	0
meu			1	0
nostru			1	0
tortul			1	0
leul			1	0
cărți			1	0
măgarul			1	0
desertul			1	0
vaca			1	0
canari			1	0
rechinul			1	0
pește			1	0
a iubi			1	0
a vorbi			1	0
a găsi			1	0
a fi			1	0
șoarece			1	0
a dori			1	0
urs			1	0
a dormi			1	0
a auzi			1	0
a scrie			1	0
a atinge			1	0
a face			1	0
a deschide			1	0
a începe			1	0
a merge			1	0
a închide			1	0
a spune			1	0
a vinde			1	0
a vrea			1	0
a avea			1	0
a apărea			1	0
a părea			1	0
a cădea			1	0
pisică			1	0
a vedea			1	0
a bea			1	0
roșiile			1	0
roșii			1	0
cepele			1	0
portocalele			1	0
bananele			1	0
salatele			1	0
fructele			1	0
vinetele			1	0
supele			1	0
nopțile			1	0
zilele			1	0
suntem			1	0
limbile			1	0
pisicile			1	0
mănâncă			1	0
păsările			1	0
animalele			1	0
găinile			1	0
insectele			1	0
balenele			1	0
rațele			1	0
câinii			1	0
rațe			1	0
boii			1	0
gâște			1	0
șase			1	0
femei			1	0
opt			1	0
șapte			1	0
nouă			1	0
puțină			1	0
puține			1	0
puțin			1	0
patru			1	0
câini			1	0
trei			1	0
pâinea			1	0
câteva			1	0
elefantul			1	0
metru			1	0
jumătățile			1	0
jumătate			1	0
metri			1	0
una			1	0
unu			1	0
jumătăți			1	0
ananas			1	0
a asculta			1	0
a schimba			1	0
sandvici			1	0
a mânca			1	0
a cânta			1	0
a cumpăra			1	0
a înota			1	0
brânză			1	0
a ajuta			1	0
a întreba			1	0
a lua			1	0
cocoșii			1	0
leii			1	0
păsări			1	0
vulturii			1	0
pești			1	0
rechinii			1	0
elefanții			1	0
delfinii			1	0
puii			1	0
purceii			1	0
caii			1	0
taurii			1	0
sunteți			1	0
cocoși			1	0
păianjenii			1	0
canarii			1	0
liliecii			1	0
fluturii			1	0
țânțarii			1	0
strugurii			1	0
castraveții			1	0
bărbații			1	0
morcovii			1	0
suc			1	0
ananașii			1	0
farfurii			1	0
pasărea			1	0
găina			1	0
albina			1	0
oaia			1	0
lupul			1	0
rața			1	0
insecta			1	0
gâsca			1	0
pruna			1	0
friptura			1	0
ceapa			1	0
portocala			1	0
caisa			1	0
maioneza			1	0
căpșuna			1	0
lămâia			1	0
clătita			1	0
salata			1	0
conopida			1	0
leguma			1	0
plăcinta			1	0
varza			1	0
zahărul			1	0
delfinul			1	0
liliacul			1	0
pinguinul			1	0
calul			1	0
hamsterul			1	0
cocoșul			1	0
porcul			1	0
curcanul			1	0
canarul			1	0
vorbesc			1	0
animalul			1	0
cartoful			1	0
muștarul			1	0
piperul			1	0
iaurtul			1	0
frigiderul			1	0
paharul			1	0
cuțitul			1	0
cuptorul			1	0
oțetul			1	0
untul			1	0
fructul			1	0
morcovul			1	0
ananasul			1	0
uleiul			1	0
bei			1	0
supă			1	0
fată			1	0
castravete			1	0
scrisoare			1	0
vie			1	0
englezești			1	0
fermecătoare			1	0
largă			1	0
românească			1	0
câine			1	0
ești			1	0
carte			1	0
mândri			1	0
acre			1	0
mândre			1	0
răi			1	0
murdare			1	0
greu			1	0
uscată			1	0
unt			1	0
mănânci			1	0
fiartă			1	0
prăjit			1	0
calde			1	0
amare			1	0
sărați			1	0
sărat			1	0
plină			1	0
proaspeți			1	0
copt			1	0
vacă			1	0
cal			1	0
ieftină			1	0
scumpă			1	0
deștepți			1	0
urât			1	0
scump			1	0
săracă			1	0
deșteaptă			1	0
rață			1	0
înalți			1	0
ușor			1	0
grasă			1	0
bun			1	0
bună			1	0
puternică			1	0
înalte			1	0
laptele			1	0
sucul			1	0
cafea			1	0
bem			1	0
ceaiul			1	0
vorbiți			1	0
da			1	0
vorbim			1	0
scrieți			1	0
scriem			1	0
sucuri			1	0
torturi			1	0
prânzuri			1	0
iaurturi			1	0
deserturi			1	0
vin			1	0
scrisori			1	0
pâini			1	0
zile			1	0
cafele			1	0
lămâie			1	0
găină			1	0
dimineți			1	0
beau			1	0
linguri			1	0
piersici			1	0
seri			1	0
sare			1	0
albine			1	0
mandarine			1	0
pară			1	0
caise			1	0
pere			1	0
banane			1	0
prună			1	0
banană			1	0
gâscă			1	0
plăcintă			1	0
bufnițe			1	0
cepe			1	0
supe			1	0
verze			1	0
iepuri			1	0
rechin			1	0
pui			1	0
castraveți			1	0
usturoi			1	0
usturoi			1	0
căței			1	0
struguri			1	0
cocoș			1	0
păianjeni			1	0
urși			1	0
papagali			1	0
boi			1	0
țânțari			1	0
tauri			1	0
taur			1	0
vulturi			1	0
armăsari			1	0
hamsteri			1	0
măgari			1	0
beți			1	0
copil			1	0
ciocolată			1	0
zmeură			1	0
roșie			1	0
iaurt			1	0
sunt			1	0
portocală			1	0
focă			1	0
mărul			1	0
măr			1	0
broască țestoasă			1	0
oaie			1	0
delfin			1	0
lup			1	0
balenă			1	0
șarpe			1	0
măgar			1	0
armăsar			1	0
elefant			1	0
purcel			1	0
vițel			1	0
bou			1	0
miel			1	0
hamster			1	0
animal de companie			1	0
cățel			1	0
canar			1	0
orezul			1	0
papagal			1	0
căpșună			1	0
arahidă			1	0
strugure			1	0
caisă			1	0
mandarină			1	0
piersică			1	0
friptură			1	0
curcan			1	0
mâncați			1	0
șnițel			1	0
salată			1	0
sandviciul			1	0
zahăr			1	0
desert			1	0
ridiche			1	0
oțet			1	0
ulei			1	0
piper			1	0
cacao			1	0
mersi			1	0
bun venit			1	0
pa			1	0
scuze			1	0
revedere			1	0
salut			1	0
pardon			1	0
curând			1	0
mulțumesc			1	0
citești			1	0
scrii			1	0
meniu			1	0
mari			1	0
slabe			1	0
scunde			1	0
subțire			1	0
dulce			1	0
iute			1	0
dulci			1	0
veche			1	0
tare			1	0
vechi			1	0
moi			1	0
rece			1	0
nou			1	0
românești			1	0
lungă			1	0
mare			1	0
atrăgători			1	0
vii			1	0
atrăgătoare			1	0
englezesc			1	0
lung			1	0
noi			1	0
fermecători			1	0
largi			1	0
acră			1	0
uscați			1	0
mândră			1	0
curați			1	0
ud			1	0
murdar			1	0
grei			1	0
rea			1	0
rele			1	0
udă			1	0
mic			1	0
mică			1	0
curat			1	0
uscat			1	0
murdari			1	0
uzi			1	0
pline			1	0
sărată			1	0
coapte			1	0
coaptă			1	0
goală			1	0
prăjită			1	0
caldă			1	0
goi			1	0
amar			1	0
cald			1	0
plini			1	0
fierte			1	0
proaspăt			1	0
scumpe			1	0
tânără			1	0
ieftine			1	0
bogată			1	0
bogate			1	0
ieftini			1	0
deștept			1	0
frumoase			1	0
bătrână			1	0
tânăr			1	0
bogați			1	0
urâți			1	0
frumos			1	0
scumpi			1	0
frumoși			1	0
săraci			1	0
sărace			1	0
tinere			1	0
deștepte			1	0
urâtă			1	0
încete			1	0
slabi			1	0
slabă			1	0
gras			1	0
înaltă			1	0
puternice			1	0
ușoare			1	0
înceți			1	0
grași			1	0
scund			1	0
puternic			1	0
rapizi			1	0
scunzi			1	0
bune			1	0
înalt			1	0
puternici			1	0
rapide			1	0
scundă			1	0
ușoară			1	0
vinuri			1	0
bere			1	0
beri			1	0
prăjitură			1	0
prăjituri			1	0
prânzul			1	0
masă			1	0
daniel			1	0
andrei			1	0
fructe			1	0
clătite			1	0
clătită			1	0
fruct			1	0
legumă			1	0
legume			1	0
cina			1	0
prânz			1	0
masa			1	0
română			1	0
engleza			1	0
engleză			1	0
limba			1	0
româna			1	0
maria			1	0
duolingo			1	0
ioana			1	0
dimineața			1	0
cristian			1	0
george			1	0
poftă			1	0
mihai			1	0
zi			1	0
noapte			1	0
ana			1	0
ziua			1	0
seara			1	0
te			1	0
rugăm			1	0
vă			1	0
rog			1	0
