learnable	type	translation	authoritative	is_regex
mein	pronoun		1	0
schlecht	adjective		1	0
interessant	adjective		1	0
bin	verb		1	0
ist	verb		1	0
die	determiner		1	0
er	pronoun		1	0
meine	pronoun		1	0
ich	pronoun		1	0
hat	verb		1	0
du	pronoun		1	0
eine	determiner		1	0
bist	verb		1	0
hallo	interjection		1	0
partnerschaft	noun		1	0
sind	verb		1	0
stark	adjective		1	0
das	determiner		1	0
durst	noun		1	0
bitte	adverb		1	0
man	determiner		1	0
trinkt	verb		1	0
das			1	0
sauer	adjective		1	0
ein	determiner		1	0
praktisch	adjective		1	0
hast	verb		1	0
habt	verb		1	0
den	determiner		1	0
mädchen	noun		1	0
trage	verb		1	0
nicht	adverb		1	0
es	pronoun		1	0
wahrscheinlich	adjective		1	0
selbstverständlich	adjective		1	0
kostenlos	adjective		1	0
teuer	adjective		1	0
einfach	adjective		1	0
süß	adjective		1	0
ja	adverb		1	0
wir	pronoun		1	0
früh	adjective		1	0
fertig	adjective		1	0
das	pronoun		1	0
klar	adjective		1	0
gemeinsam	adjective		1	0
seid	verb		1	0
isst	verb		1	0
haben	verb		1	0
habe	verb		1	0
milch	noun		1	0
einen	determiner		1	0
essen	verb		1	0
trinke	verb		1	0
hunger	noun		1	0
willkommen	adjective		1	0
nein	adverb		1	0
tschüss	interjection		1	0
danke	interjection		1	0
esst	verb		1	0
brot	noun		1	0
trinken	verb		1	0
trinkst	verb		1	0
gut	adjective		1	0
fest	adjective		1	0
kalt	adjective		1	0
toll	adjective		1	0
kurz	adjective		1	0
möglich	adjective		1	0
positiv	adjective		1	0
hoch	adjective		1	0
frei	adjective		1	0
esse	verb		1	0
dann	adverb		1	0
bis	preposition		1	0
schmeckt	verb		1	0
deine	pronoun		1	0
niemand	determiner		1	0
schwer	adjective		1	0
jemand	determiner		1	0
alt	adjective		1	0
wichtig	adjective		1	0
voll	adjective		1	0
schön	adjective		1	0
genau	adjective		1	0
richtig	adjective		1	0
gesund	adjective		1	0
langsam	adjective		1	0
perfekt	adjective		1	0
salzig	adjective		1	0
getränk	noun		1	0
dein	pronoun		1	0
weiß	adjective		1	0
rund	adjective		1	0
normal	adjective		1	0
nützlich	adjective		1	0
hose	noun		1	0
schnell	adjective		1	0
neu	adjective		1	0
mich	pronoun		1	0
sie	pronoun		1	0
dich	pronoun		1	0
deinen	pronoun		1	0
tochter	noun		1	0
euch	pronoun		1	0
seinen	pronoun		1	0
seine	pronoun		1	0
unser	pronoun		1	0
schuh	noun		1	0
verpasst	verb		1	0
großvater	noun		1	0
schwestern	noun		1	0
sehen	verb		1	0
seht	verb		1	0
dies	pronoun		1	0
ihn	pronoun		1	0
jedes	determiner		1	0
diesen	pronoun		1	0
welchen	determiner		1	0
jede	determiner		1	0
essen	noun		1	0
viele	determiner		1	0
ihren	pronoun		1	0
unseren	pronoun		1	0
anderes	determiner		1	0
schwester	noun		1	0
frühstück	noun		1	0
gehst	verb		1	0
fisch	noun		1	0
hochzeit	noun		1	0
vater	noun		1	0
söhne	noun		1	0
kennt	verb		1	0
läufst	verb		1	0
bezahlen	verb		1	0
tragen	verb		1	0
taschen	noun		1	0
wäscht	verb		1	0
spiele	verb		1	0
magst	verb		1	0
mögt	verb		1	0
gern	adverb		1	0
hier	adverb		1	0
aus	preposition		1	0
auch	adverb		1	0
in	preposition		1	0
oder	conjunction		1	0
und	conjunction		1	0
student	noun		1	0
wieviel	adverb		1	0
beim	preposition		1	0
nach	preposition		1	0
zu	preposition		1	0
einer	determiner		1	0
vier	numeral		1	0
zehn	numeral		1	0
zwei	numeral		1	0
neun	numeral		1	0
zwölf	numeral		1	0
paar	determiner		1	0
etwas	pronoun		1	0
sechs	numeral		1	0
eins	numeral		1	0
acht	numeral		1	0
sieben	numeral		1	0
fünf	numeral		1	0
drei	numeral		1	0
einem	determiner		1	0
der	determiner		1	0
am	preposition		1	0
zur	preposition		1	0
bei	preposition		1	0
dem	determiner		1	0
mit	preposition		1	0
zum	preposition		1	0
wohin	adverb		1	0
wo	adverb		1	0
worüber	adverb		1	0
wann	adverb		1	0
warum	adverb		1	0
wofür	adverb		1	0
wieso	adverb		1	0
entweder	conjunction		1	0
solange	conjunction		1	0
sowie	conjunction		1	0
da	conjunction		1	0
doch	conjunction		1	0
sobald	conjunction		1	0
aber	conjunction		1	0
wie	conjunction		1	0
wenn	conjunction		1	0
obwohl	conjunction		1	0
nachdem	conjunction		1	0
sofern	conjunction		1	0
