learnable	type	translation	authoritative	is_regex
non	adverb		1	0
i	determiner		1	0
lui	pronoun		1	0
lei	pronoun		1	0
ci	pronoun		1	0
suo	determiner		1	0
con	preposition		1	0
il	determiner		1	0
fare	verb		1	0
niente	pronoun		1	0
da	preposition		1	0
mi	pronoun		1	0
cani	noun		1	0
c'	adverb		1	0
a	preposition		1	0
in	preposition		1	0
cosa	pronoun		1	0
bene	adverb		1	0
sempre	adverb		1	0
e	conjunction		1	0
così	adverb		1	0
che			1	0
nessuno	pronoun		1	0
coltello	noun		1	0
al	preposition		1	0
molto	adverb		1	0
tenevo	verb		1	0
sentivo	verb		1	0
diventava	verb		1	0
sentivamo	verb		1	0
lasciavano	verb		1	0
passava	verb		1	0
teneva	verb		1	0
rimanevano	verb		1	0
rimaneva	verb		1	0
come	adverb		1	0
autobus	noun		1	0
più	adverb		1	0
miei	determiner		1	0
quando	adverb		1	0
ti	pronoun		1	0
qualcuno	pronoun		1	0
lo	determiner		1	0
forse	adverb		1	0
l'	determiner		1	0
zoo	noun		1	0
prima	adverb		1	0
tanto	adverb		1	0
mia	determiner		1	0
dove	adverb		1	0
all'	preposition		1	0
quando			1	0
qualche	determiner		1	0
allo	preposition		1	0
funghi	noun		1	0
perché	adverb		1	0
quello	pronoun		1	0
per	preposition		1	0
di	preposition		1	0
tuo	determiner		1	0
lì	adverb		1	0
nel	preposition		1	0
la	determiner		1	0
prendeva	verb		1	0
portavano	verb		1	0
chiedeva	verb		1	0
parlavano	verb		1	0
mettevo	verb		1	0
credeva	verb		1	0
metteva	verb		1	0
arrivava	verb		1	0
che	conjunction		1	0
oggi	adverb		1	0
lo	pronoun		1	0
andare	verb		1	0
qualcosa	pronoun		1	0
chi	pronoun		1	0
una	determiner		1	0
mangiare	verb		1	0
scimmia	noun		1	0
trovare	verb		1	0
la	pronoun		1	0
mai	adverb		1	0
cavallo	noun		1	0
ogni	determiner		1	0
ieri	adverb		1	0
dicevi	verb		1	0
sapevo	verb		1	0
vedevamo	verb		1	0
dicevo	verb		1	0
vedeva	verb		1	0
sapeva	verb		1	0
conosceva	verb		1	0
pensavi	verb		1	0
diceva	verb		1	0
dava	verb		1	0
pensavo	verb		1	0
trovavi	verb		1	0
qui	adverb		1	0
del	preposition		1	0
lupo	noun		1	0
frutta	noun		1	0
vedere	verb		1	0
succo	noun		1	0
scegliere	verb		1	0
te	pronoun		1	0
senza	preposition		1	0
bere	verb		1	0
dalla	preposition		1	0
meglio	adverb		1	0
alla	preposition		1	0
stava	verb		1	0
andavamo	verb		1	0
era	verb		1	0
stavo	verb		1	0
ero	verb		1	0
veniva	verb		1	0
volevano	verb		1	0
faceva	verb		1	0
potevano	verb		1	0
della	preposition		1	0
quella	determiner		1	0
pesce	noun		1	0
arrivare	verb		1	0
giù	adverb		1	0
dal	preposition		1	0
vicino	adverb		1	0
noi	pronoun		1	0
ora	adverb		1	0
nord	noun		1	0
tu	pronoun		1	0
qua	adverb		1	0
un	determiner		1	0
quella	pronoun		1	0
verso	preposition		1	0
fronte	noun		1	0
su	preposition		1	0
quali	pronoun		1	0
dietro	adverb		1	0
formica	noun		1	0
bottiglia	noun		1	0
dentro	preposition		1	0
attraverso	adverb		1	0
bicchiere	noun		1	0
cuoco	noun		1	0
acqua	noun		1	0
dov'	adverb		1	0
questa	pronoun		1	0
voi	pronoun		1	0
qual	adjective		1	0
prendere	verb		1	0
davanti	preposition		1	0
avanti	adverb		1	0
si	pronoun		1	0
loro	determiner		1	0
ancora	adverb		1	0
mezzi	noun		1	0
ma	conjunction		1	0
quale	pronoun		1	0
donne	noun		1	0
questo	determiner		1	0
le	determiner		1	0
gli	determiner		1	0
tutti	determiner		1	0
cominciare	verb		1	0
solo	adverb		1	0
tra	preposition		1	0
martedì	noun		1	0
iniziare	verb		1	0
dimmi	pronoun		1	0
spagna	proper noun		1	0
ai	preposition		1	0
italia	proper noun		1	0
inghilterra	proper noun		1	0
ricetta	noun		1	0
formaggio	noun		1	0
brasile	proper noun		1	0
francia	proper noun		1	0
dei	preposition		1	0
uno	determiner		1	0
italiana	adjective		1	0
né	conjunction		1	0
anche	adverb		1	0
germania	proper noun		1	0
sua	determiner		1	0
loro	pronoun		1	0
metà	noun		1	0
caffè	noun		1	0
francesi	adjective		1	0
tedeschi	adjective		1	0
tedesca	adjective		1	0
europea	adjective		1	0
già	adverb		1	0
cina	proper noun		1	0
europa	proper noun		1	0
scrivere	verb		1	0
io	pronoun		1	0
cinesi	adjective		1	0
asia	proper noun		1	0
america	proper noun		1	0
africa	proper noun		1	0
americana	adjective		1	0
brasiliani	adjective		1	0
povertà	noun		1	0
dignità	noun		1	0
fame	noun		1	0
sentendo	verb		1	0
zuppa	noun		1	0
pinguino	noun		1	0
costruendo	verb		1	0
stasera	adverb		1	0
verità	noun		1	0
leggendo	verb		1	0
alle	preposition		1	0
morendo	verb		1	0
tentando	verb		1	0
lavorando	verb		1	0
facendo	verb		1	0
nella	preposition		1	0
giornale	noun		1	0
mie	determiner		1	0
andando	verb		1	0
nuotare	verb		1	0
tue	determiner		1	0
rispondendo	verb		1	0
dammi	pronoun		1	0
tua	determiner		1	0
virus	noun		1	0
ricevere	verb		1	0
quattro	numeral		1	0
male	adverb		1	0
mani	noun		1	0
malattia	noun		1	0
dentista	noun		1	0
schiena	noun		1	0
organo	noun		1	0
mano	noun		1	0
collo	noun		1	0
altro	determiner		1	0
nostra	determiner		1	0
ad	preposition		1	0
nell'	preposition		1	0
luogo	noun		1	0
tedeschi	noun		1	0
aeroplani	noun		1	0
sport	noun		1	0
vincere	verb		1	0
pallacanestro	noun		1	0
saltare	verb		1	0
attività	noun		1	0
tennis	noun		1	0
gol	noun		1	0
tutto	pronoun		1	0
se	conjunction		1	0
spaventare	verb		1	0
