learnable	type	translation	authoritative	is_regex
menina	noun		1	0
homem	noun		1	0
menino	noun		1	0
mulher	noun		1	0
eu	pronoun		1	0
sou	verb		1	0
em	preposition		1	0
tênis	noun		1	0
bem	adverb		1	0
cenoura	noun		1	0
cedo	adverb		1	0
de	preposition		1	0
embora	adverb		1	0
se	conjunction		1	0
nessa	preposition		1	0
e	conjunction		1	0
que	conjunction		1	0
antes	adverb		1	0
nós	pronoun		1	0
não	adverb		1	0
isso	pronoun		1	0
meu	determiner		1	0
entender	verb		1	0
nunca	adverb		1	0
você	pronoun		1	0
o	determiner		1	0
naquela	preposition		1	0
quando	conjunction		1	0
isto	pronoun		1	0
lá	adverb		1	0
nisso	preposition		1	0
já	adverb		1	0
felizmente	adverb		1	0
sobre	preposition		1	0
que	pronoun		1	0
daquele	preposition		1	0
quem	pronoun		1	0
nada	pronoun		1	0
os	determiner		1	0
meus	determiner		1	0
sempre	adverb		1	0
ultimamente	adverb		1	0
aos	preposition		1	0
as	determiner		1	0
com	preposition		1	0
desde	preposition		1	0
na	preposition		1	0
hoje	adverb		1	0
mais	adverb		1	0
brasil	proper noun		1	0
escrever	verb		1	0
tão	adverb		1	0
que			1	0
a	determiner		1	0
comprar	verb		1	0
internet	noun		1	0
do	preposition		1	0
muito	adverb		1	0
dele	preposition		1	0
é	verb		1	0
endereço	noun		1	0
no	preposition		1	0
como	adverb		1	0
está	verb		1	0
vinte	numeral		1	0
bastante	adverb		1	0
vocês	pronoun		1	0
para	preposition		1	0
dela	preposition		1	0
me	pronoun		1	0
estão	verb		1	0
acabar	verb		1	0
de novo			1	0
pôr	verb		1	0
ser	verb		1	0
aceitar	verb		1	0
tentar	verb		1	0
colocar	verb		1	0
minha	determiner		1	0
sacada	noun		1	0
ter	verb		1	0
ir	verb		1	0
observar	verb		1	0
fazer	verb		1	0
comer	verb		1	0
aquilo	pronoun		1	0
contar	verb		1	0
seis	numeral		1	0
desse	preposition		1	0
são	verb		1	0
futebol	noun		1	0
da	preposition		1	0
comigo	pronoun		1	0
atrás	adverb		1	0
depois	adverb		1	0
jogar	verb		1	0
estou	verb		1	0
fora	adverb		1	0
amanhã	adverb		1	0
dez	numeral		1	0
