learnable	type	translation	authoritative	is_regex
моя			1	0
о			1	0
люблю			1	0
я			1	0
длинная			1	0
извините			1	0
поэтому			1	0
наш			1	0
хорошую			1	0
это			1	0
и			1	0
дочь			1	0
анна			1	0
сейчас			1	0
радио			1	0
на			1	0
люди			1	0
хочет			1	0
читать			1	0
уже			1	0
мне			1	0
маленькая			1	0
этого			1	0
там			1	0
мы			1	0
наши			1	0
нужна			1	0
нельзя			1	0
обычно			1	0
не			1	0
вода			1	0
купить			1	0
в			1	0
молоко			1	0
моё			1	0
наша			1	0
вот			1	0
меню			1	0
мой			1	0
твой			1	0
столе			1	0
этот			1	0
где			1	0
тим			1	0
дима			1	0
здесь			1	0
какао			1	0
ваше			1	0
такси			1	0
план			1	0
пожалуйста			1	0
привет			1	0
вы			1	0
вчера			1	0
зачем			1	0
ваня			1	0
ты			1	0
вам			1	0
почему			1	0
старый			1	0
эту			1	0
это			1	0
они			1	0
можете			1	0
нас			1	0
человек			1	0
нам			1	0
есть			1	0
очень			1	0
тебе			1	0
что			1	0
над			1	0
три			1	0
больше			1	0
иван			1	0
раньше			1	0
этом			1	0
есть			1	0
этим			1	0
часто			1	0
несколько			1	0
у			1	0
по-моему			1	0
что			1	0
не			1	0
меньше			1	0
холодно			1	0
английски			1	0
тут			1	0
да			1	0
пишите			1	0
купи			1	0
понимаю			1	0
по			1	0
ни			1	0
потом			1	0
карандашом			1	0
быстро			1	0
меня			1	0
а			1	0
кошку			1	0
её			1	0
медленно			1	0
дай			1	0
хорошо			1	0
кошка			1	0
его			1	0
хлеба			1	0
мои			1	0
возле			1	0
видела			1	0
всё			1	0
вижу			1	0
какой			1	0
тебя			1	0
дети			1	0
кроме			1	0
спать			1	0
нравится			1	0
кровати			1	0
ещё			1	0
этой			1	0
знаешь			1	0
может быть			1	0
хороший			1	0
ли			1	0
писать			1	0
много			1	0
будут			1	0
нет			1	0
ест			1	0
там			1	0
брат			1	0
кошки			1	0
едят			1	0
хлеб			1	0
тарелки			1	0
планы			1	0
нет			1	0
сёстры			1	0
собаку			1	0
с			1	0
теперь			1	0
как			1	0
а			1	0
маму			1	0
яблоки			1	0
папу			1	0
девочку			1	0
видит			1	0
вас			1	0
ребёнок			1	0
сок			1	0
пьёт			1	0
их			1	0
хочешь			1	0
знаю			1	0
тарелку			1	0
читает			1	0
она			1	0
знает			1	0
сестра			1	0
вашу			1	0
нашу			1	0
ваша			1	0
воду			1	0
воды			1	0
сока			1	0
пью			1	0
риса			1	0
вера			1	0
скажи			1	0
том			1	0
книга			1	0
твоя			1	0
дома			1	0
твоё			1	0
ваш			1	0
ваши			1	0
ем			1	0
дженни			1	0
молока			1	0
брата			1	0
мамы			1	0
кошки			1	0
масла			1	0
