learnable	normalized	partOfSpeech	source
ägg	agg		Duolingo
älskar	alskar		Duolingo
anders	anders		Duolingo
anna	anna		Duolingo
äpple	apple		Duolingo
äpplen	applen		Duolingo
äpplena	applena		Duolingo
äpplet	applet		Duolingo
är	ar		Duolingo
äter	ater		Duolingo
barn	barn		Duolingo
barnen	barnen		Duolingo
barnet	barnet		Duolingo
bil	bil		Duolingo
böcker	bocker		Duolingo
böckerna	bockerna		Duolingo
bok	bok		Duolingo
boken	boken		Duolingo
bor	bor		Duolingo
bra	bra		Duolingo
brev	brev		Duolingo
brevet	brevet		Duolingo
bröd	brod		Duolingo
brödet	brodet		Duolingo
då	da		Duolingo
dålig	dalig		Duolingo
dåliga	daliga		Duolingo
dåligt	daligt		Duolingo
de	de		Duolingo
den	den		Duolingo
det	det		Duolingo
det är	det ar		Duolingo
dricker	dricker		Duolingo
du	du		Duolingo
eller	eller		Duolingo
en	en		Duolingo
engelska	engelska		Duolingo
ett	ett		Duolingo
eva	eva		Duolingo
fågel	fagel		Duolingo
fågeln	fageln		Duolingo
fåglar	faglar		Duolingo
fåglarna	faglarna		Duolingo
fin	fin		Duolingo
flera	flera		Duolingo
flicka	flicka		Duolingo
flickan	flickan		Duolingo
flickor	flickor		Duolingo
från	fran		Duolingo
gamla	gamla		Duolingo
gammal	gammal		Duolingo
gammalt	gammalt		Duolingo
god	god		Duolingo
hallå	halla		Duolingo
han	han		Duolingo
har	har		Duolingo
hej	hej		Duolingo
heter	heter		Duolingo
hon	hon		Duolingo
hus	hus		Duolingo
i	i		Duolingo
inga	inga		Duolingo
ingen	ingen		Duolingo
inget	inget		Duolingo
inte	inte		Duolingo
ja	ja		Duolingo
jag	jag		Duolingo
kommer	kommer		Duolingo
kvinna	kvinna		Duolingo
kvinnan	kvinnan		Duolingo
kvinnor	kvinnor		Duolingo
kvinnorna	kvinnorna		Duolingo
lägenhet	lagenhet		Duolingo
läkare	lakare		Duolingo
läkaren	lakaren		Duolingo
läkarna	lakarna		Duolingo
lars	lars		Duolingo
läser	laser		Duolingo
liten	liten		Duolingo
litet	litet		Duolingo
malmö	malmo		Duolingo
man	man		Duolingo
många	manga		Duolingo
männen	mannen		Duolingo
maria	maria		Duolingo
meny	meny		Duolingo
menyer	menyer		Duolingo
menyerna	menyerna		Duolingo
menyn	menyn		Duolingo
mexiko	mexiko		Duolingo
mikael	mikael		Duolingo
mjölk	mjolk		Duolingo
mjölken	mjolken		Duolingo
morgon	morgon		Duolingo
mycket	mycket		Duolingo
natt	natt		Duolingo
nej	nej		Duolingo
ni	ni		Duolingo
ny	ny		Duolingo
nya	nya		Duolingo
nytt	nytt		Duolingo
och	och		Duolingo
om	om		Duolingo
pojkar	pojkar		Duolingo
pojke	pojke		Duolingo
pojken	pojken		Duolingo
ris	ris		Duolingo
riset	riset		Duolingo
så	sa		Duolingo
små	sma		Duolingo
smörgås	smorgas		Duolingo
smörgåsar	smorgasar		Duolingo
smörgåsarna	smorgasarna		Duolingo
smörgåsen	smorgasen		Duolingo
snälla	snalla		Duolingo
spanien	spanien		Duolingo
spanska	spanska		Duolingo
stockholm	stockholm		Duolingo
stor	stor		Duolingo
stora	stora		Duolingo
stort	stort		Duolingo
svenska	svenska		Duolingo
sverige	sverige		Duolingo
tack	tack		Duolingo
talar	talar		Duolingo
tidning	tidning		Duolingo
tidningar	tidningar		Duolingo
tidningarna	tidningarna		Duolingo
tidningen	tidningen		Duolingo
trött	trott		Duolingo
trötta	trotta		Duolingo
tycker	tycker		Duolingo
tycker inte om	tycker inte om		Duolingo
ursäkta	ursakta		Duolingo
vad	vad		Duolingo
välkommen	valkommen		Duolingo
var	var		Duolingo
varifrån	varifran		Duolingo
varsågod	varsagod		Duolingo
vatten	vatten		Duolingo
vattnet	vattnet		Duolingo
vi	vi		Duolingo
