learnable	normalized	partOfSpeech	source
а	a		Duolingo
август	avgust		Duolingo
августе	avguste		Duolingo
автобус	avtobus		Duolingo
автобуса	avtobusa		Duolingo
автобусная	avtobusnaia		Duolingo
автобусной	avtobusnoi		Duolingo
автобусные	avtobusnye		Duolingo
автор	avtor		Duolingo
автора	avtora		Duolingo
авторе	avtore		Duolingo
ага	aga		Duolingo
адвокат	advokat		Duolingo
адвоката	advokata		Duolingo
адвокаты	advokaty		Duolingo
администратор	administrator		Duolingo
администратора	administratora		Duolingo
адрес	adres		Duolingo
адреса	adresa		Duolingo
адресе	adrese		Duolingo
азиатские	aziatskie		Duolingo
азиатский	aziatskii		Duolingo
азиатском	aziatskom		Duolingo
азии	azii		Duolingo
академией	akademiei		Duolingo
академии	akademii		Duolingo
академия	akademiia		Duolingo
актёр	akter		Duolingo
актёры	aktery		Duolingo
актриса	aktrisa		Duolingo
актрисы	aktrisy		Duolingo
алло	allo		Duolingo
альбом	al'bom		Duolingo
альбома	al'boma		Duolingo
америка	amerika		Duolingo
американец	amerikanets		Duolingo
американка	amerikanka		Duolingo
американке	amerikanke		Duolingo
американский	amerikanskii		Duolingo
американскую	amerikanskuiu		Duolingo
американцев	amerikantsev		Duolingo
американцу	amerikantsu		Duolingo
америке	amerike		Duolingo
анализ	analiz		Duolingo
анализа	analiza		Duolingo
анализом	analizom		Duolingo
ангел	angel		Duolingo
ангела	angela		Duolingo
ангелы	angely		Duolingo
англии	anglii		Duolingo
английски	angliiski		Duolingo
английский	angliiskii		Duolingo
англичане	anglichane		Duolingo
англичанин	anglichanin		Duolingo
англию	angliiu		Duolingo
англия	angliia		Duolingo
англо-русский	anglo-russkii		Duolingo
англо-русского	anglo-russkogo		Duolingo
анна	anna		Duolingo
анне	anne		Duolingo
анну	annu		Duolingo
антон	anton		Duolingo
апельсин	apel'sin		Duolingo
апельсинами	apel'sinami		Duolingo
апельсиновый	apel'sinovyi		Duolingo
апельсины	apel'siny		Duolingo
апрель	aprel'		Duolingo
апреля	aprelia		Duolingo
аптека	apteka		Duolingo
аптеку	apteku		Duolingo
арестовали	arestovali		Duolingo
арестован	arestovan		Duolingo
арестованы	arestovany		Duolingo
армии	armii		Duolingo
армия	armiia		Duolingo
артист	artist		Duolingo
артисты	artisty		Duolingo
архитектор	arkhitektor		Duolingo
архитектура	arkhitektura		Duolingo
архитектурой	arkhitekturoi		Duolingo
атеист	ateist		Duolingo
атеистом	ateistom		Duolingo
атом	atom		Duolingo
атома	atoma		Duolingo
атомов	atomov		Duolingo
аудитории	auditorii		Duolingo
аэропорт	aeroport		Duolingo
аэропорту	aeroportu		Duolingo
бабушка	babushka		Duolingo
бабушки	babushki		Duolingo
бабушку	babushku		Duolingo
багаж	bagazh		Duolingo
балерина	balerina		Duolingo
балерину	balerinu		Duolingo
балет	balet		Duolingo
балета	baleta		Duolingo
балетом	baletom		Duolingo
балкон	balkon		Duolingo
банан	banan		Duolingo
бананов	bananov		Duolingo
бананы	banany		Duolingo
банк	bank		Duolingo
банка	banka		Duolingo
банком	bankom		Duolingo
банку	banku		Duolingo
банок	banok		Duolingo
баскетбол	basketbol		Duolingo
баскетболист	basketbolist		Duolingo
баскетболиста	basketbolista		Duolingo
баскетболисты	basketbolisty		Duolingo
баскетболом	basketbolom		Duolingo
бегает	begaet		Duolingo
бегать	begat'		Duolingo
бегают	begaiut		Duolingo
беги	begi		Duolingo
бегу	begu		Duolingo
бегут	begut		Duolingo
бедной	bednoi		Duolingo
бедный	bednyi		Duolingo
бежал	bezhal		Duolingo
бежали	bezhali		Duolingo
бежать	bezhat'		Duolingo
бежим	bezhim		Duolingo
бежит	bezhit		Duolingo
бежите	bezhite		Duolingo
без	bez		Duolingo
белой	beloi		Duolingo
белоруссии	belorussii		Duolingo
белоруссия	belorussiia		Duolingo
белую	beluiu		Duolingo
белые	belye		Duolingo
белый	belyi		Duolingo
белым	belym		Duolingo
белых	belykh		Duolingo
бензин	benzin		Duolingo
бензина	benzina		Duolingo
берегу	beregu		Duolingo
берём	berem		Duolingo
берёт	beret		Duolingo
беру	beru		Duolingo
бесплатно	besplatno		Duolingo
бесплатные	besplatnye		Duolingo
бесплатный	besplatnyi		Duolingo
беспокоимся	bespokoimsia		Duolingo
беспокойтесь	bespokoites'		Duolingo
беспокоюсь	bespokoius'		Duolingo
бесполезная	bespoleznaia		Duolingo
бесполезные	bespoleznye		Duolingo
бесполезный	bespoleznyi		Duolingo
библиотека	biblioteka		Duolingo
библиотеке	biblioteke		Duolingo
бизнес	biznes		Duolingo
бизнесмен	biznesmen		Duolingo
бизнесмена	biznesmena		Duolingo
бизнесменам	biznesmenam		Duolingo
бизнесом	biznesom		Duolingo
билет	bilet		Duolingo
билете	bilete		Duolingo
билеты	bilety		Duolingo
биологии	biologii		Duolingo
биологический	biologicheskii		Duolingo
биологическом	biologicheskom		Duolingo
биология	biologiia		Duolingo
битва	bitva		Duolingo
битве	bitve		Duolingo
благодарю	blagodariu		Duolingo
благодаря	blagodaria		Duolingo
близко	blizko		Duolingo
блин	blin		Duolingo
блог	blog		Duolingo
блога	bloga		Duolingo
бог	bog		Duolingo
бога	boga		Duolingo
богатая	bogataia		Duolingo
богатые	bogatye		Duolingo
богатый	bogatyi		Duolingo
богов	bogov		Duolingo
боимся	boimsia		Duolingo
боится	boitsia		Duolingo
более	bolee		Duolingo
болен	bolen		Duolingo
болеть	bolet'		Duolingo
болит	bolit		Duolingo
больна	bol'na		Duolingo
больнице	bol'nitse		Duolingo
больницу	bol'nitsu		Duolingo
больницы	bol'nitsy		Duolingo
большая	bol'shaia		Duolingo
больше	bol'she		Duolingo
большие	bol'shie		Duolingo
большинство	bol'shinstvo		Duolingo
больших	bol'shikh		Duolingo
большое	bol'shoe		Duolingo
большой	bol'shoi		Duolingo
большом	bol'shom		Duolingo
большую	bol'shuiu		Duolingo
болят	boliat		Duolingo
борщ	borshch		Duolingo
ботинки	botinki		Duolingo
ботинок	botinok		Duolingo
боюсь	boius'		Duolingo
боялась	boialas'		Duolingo
брат	brat		Duolingo
брата	brata		Duolingo
братом	bratom		Duolingo
братья	brat'ia		Duolingo
бреетесь	breetes'		Duolingo
бреется	breetsia		Duolingo
брился	brilsia		Duolingo
бросает	brosaet		Duolingo
бросать	brosat'		Duolingo
бросаю	brosaiu		Duolingo
бросил	brosil		Duolingo
бросила	brosila		Duolingo
брюки	briuki		Duolingo
буддистом	buddistom		Duolingo
буддисты	buddisty		Duolingo
будем	budem		Duolingo
будет	budet		Duolingo
будете	budete		Duolingo
будешь	budesh'		Duolingo
буду	budu		Duolingo
будут	budut		Duolingo
будущая	budushchaia		Duolingo
будущий	budushchii		Duolingo
будь	bud'		Duolingo
будьте	bud'te		Duolingo
бумага	bumaga		Duolingo
бумаги	bumagi		Duolingo
бутылка	butylka		Duolingo
бутылки	butylki		Duolingo
бутылку	butylku		Duolingo
бутылок	butylok		Duolingo
бы	by		Duolingo
был	byl		Duolingo
была	byla		Duolingo
были	byli		Duolingo
было	bylo		Duolingo
быстрая	bystraia		Duolingo
быстрее	bystree		Duolingo
быстро	bystro		Duolingo
быстрый	bystryi		Duolingo
быть	byt'		Duolingo
в	v		Duolingo
в виду	v vidu		Duolingo
в депутаты	v deputaty		Duolingo
в-третьих	v-tret'ikh		Duolingo
вагон	vagon		Duolingo
вагоне	vagone		Duolingo
вагонов	vagonov		Duolingo
важно	vazhno		Duolingo
важный	vazhnyi		Duolingo
ваза	vaza		Duolingo
вазе	vaze		Duolingo
вазу	vazu		Duolingo
вам	vam		Duolingo
ванна	vanna		Duolingo
ванне	vanne		Duolingo
ванну	vannu		Duolingo
ваня	vania		Duolingo
варить	varit'		Duolingo
вас	vas		Duolingo
ваш	vash		Duolingo
ваша	vasha		Duolingo
ваше	vashe		Duolingo
вашего	vashego		Duolingo
вашей	vashei		Duolingo
вашем	vashem		Duolingo
ваши	vashi		Duolingo
вашу	vashu		Duolingo
введите	vvedite		Duolingo
ввела	vvela		Duolingo
ввели	vveli		Duolingo
вверх ногами	vverkh nogami		Duolingo
вдвоём	vdvoem		Duolingo
вдруг	vdrug		Duolingo
ведёт	vedet		Duolingo
веду	vedu		Duolingo
ведут	vedut		Duolingo
ведь	ved'		Duolingo
век	vek		Duolingo
века	veka		Duolingo
веке	veke		Duolingo
велик	velik		Duolingo
велика	velika		Duolingo
велики	veliki		Duolingo
великие	velikie		Duolingo
великий	velikii		Duolingo
велико	veliko		Duolingo
велосипед	velosiped		Duolingo
велосипеда	velosipeda		Duolingo
велосипеде	velosipede		Duolingo
вера	vera		Duolingo
верит	verit		Duolingo
верить	verit'		Duolingo
веришь	verish'		Duolingo
верно	verno		Duolingo
вернуться	vernut'sia		Duolingo
верх	verkh		Duolingo
верю	veriu		Duolingo
верят	veriat		Duolingo
весёлая	veselaia		Duolingo
весёлые	veselye		Duolingo
весёлым	veselym		Duolingo
весенние	vesennie		Duolingo
весенним	vesennim		Duolingo
весенних	vesennikh		Duolingo
весна	vesna		Duolingo
весне	vesne		Duolingo
весной	vesnoi		Duolingo
весны	vesny		Duolingo
весом	vesom		Duolingo
весь	ves'		Duolingo
ветер	veter		Duolingo
вечер	vecher		Duolingo
вечера	vechera		Duolingo
вечером	vecherom		Duolingo
вещества	veshchestva		Duolingo
