learnable	type	translation	authoritative	is_regex
on			1	0
auto			1	0
to			1	0
františek			1	0
na			1	0
kateřinu			1	0
tu			1	0
já			1	0
kateřina			1	0
žofii			1	0
se			1	0
to			1	0
o			1	0
strom			1	0
františka			1	0
ženu			1	0
matěje			1	0
poslední			1	0
matěj			1	0
ta			1	0
co			1	0
vidí			1	0
kdo			1	0
je			1	0
ten			1	0
velcí			1	0
ta			1	0
pro			1	0
ne			1	0
jsou			1	0
kozu			1	0
moucha			1	0
nebo			1	0
velká			1	0
velkou			1	0
ty			1	0
velké			1	0
malé			1	0
a			1	0
velké			1	0
malá			1	0
nevidíš			1	0
proč			1	0
kluci			1	0
děti			1	0
zvířata			1	0
muži			1	0
ony			1	0
ženy			1	0
nejsme			1	0
holky			1	0
nejste			1	0
nejsou			1	0
malá			1	0
ale			1	0
staré			1	0
hezké			1	0
stará			1	0
jsme			1	0
ano			1	0
jste			1	0
my			1	0
oni			1	0
vy			1	0
staří			1	0
jsem			1	0
slovo			1	0
není			1	0
zvíře			1	0
stará			1	0
mladé			1	0
velký			1	0
špatný			1	0
velké			1	0
stroj			1	0
člověk			1	0
kluk			1	0
hezké			1	0
dítě			1	0
malý			1	0
jiné			1	0
nejsi			1	0
jsi			1	0
nejsem			1	0
ulice			1	0
nové			1	0
ono			1	0
jiný			1	0
město			1	0
staré			1	0
moře			1	0
víno			1	0
zvláštní			1	0
další			1	0
poslední			1	0
malé			1	0
náměstí			1	0
děvče			1	0
dobrá			1	0
jiná			1	0
mladá			1	0
láska			1	0
špatná			1	0
žena			1	0
holka			1	0
žofie			1	0
hezká			1	0
věc			1	0
muž			1	0
zvláštní			1	0
dům			1	0
hrad			1	0
hezký			1	0
poslední			1	0
mladý			1	0
další			1	0
dobrou			1	0
odpoledne			1	0
ahoj			1	0
dobrý			1	0
víkend			1	0
ráno			1	0
večer			1	0
díky			1	0
na shledanou			1	0
děkuji			1	0
dobré			1	0
noc			1	0
den			1	0
velkého			1	0
velký			1	0
nevidí			1	0
vlka			1	0
raději			1	0
jí			1	0
čaj			1	0
špatné			1	0
hlad			1	0
má			1	0
maso			1	0
ona			1	0
cukr			1	0
žízeň			1	0
chlapec			1	0
pijí			1	0
pivo			1	0
nejí			1	0
nemáme			1	0
sůl			1	0
tu			1	0
kde			1	0
mléko			1	0
ráda			1	0
teď			1	0
velká			1	0
piji			1	0
velkou			1	0
malí			1	0
ona			1	0
jména			1	0
osoby			1	0
stromy			1	0
tady			1	0
další			1	0
zvláštní			1	0
nová			1	0
prosím			1	0
noci			1	0
dobrá			1	0
dny			1	0
zvláštní			1	0
poslední			1	0
domy			1	0
další			1	0
osoba			1	0
dívka			1	0
jméno			1	0
čí			1	0
jak			1	0
chlapci			1	0
hoch			1	0
mašina			1	0
nový			1	0
starý			1	0
automobil			1	0
který			1	0
velicí			1	0
veliké			1	0
veliká			1	0
města			1	0
děvčata			1	0
velká			1	0
slova			1	0
dlouhé			1	0
krátké			1	0
věty			1	0
vysocí			1	0
vysoké			1	0
věci			1	0
dívky			1	0
mašiny			1	0
ulice			1	0
stroje			1	0
noví			1	0
nové			1	0
jiná			1	0
jiní			1	0
mladé			1	0
dobří			1	0
ti			1	0
mladí			1	0
hezcí			1	0
hrady			1	0
lidé			1	0
přítel			1	0
matěji			1	0
veliký			1	0
vysoké			1	0
muže			1	0
neslyší			1	0
svoje			1	0
tví			1	0
její			1	0
své			1	0
vaši			1	0
má			1	0
náš			1	0
tvé			1	0
váš			1	0
znáte			1	0
je			1	0
ni			1	0
jeho			1	0
jej			1	0
ji			1	0
ně			1	0
nepotřebují			1	0
který			1	0
kateřino			1	0
františku			1	0
přítelkyně			1	0
psi			1	0
vlci			1	0
něho			1	0
svůj			1	0
chceš			1	0
nejím			1	0
svou			1	0
svá			1	0
svoji			1	0
svého			1	0
dívku			1	0
tvá			1	0
ho			1	0
něj			1	0
kdy			1	0
časopisy			1	0
jací			1	0
časopis			1	0
chce			1	0
nesnáším			1	0
chceme			1	0
chtějí			1	0
manželé			1	0
manželka			1	0
manžel			1	0
která			1	0
které			1	0
mé			1	0
vás			1	0
jeho			1	0
jejich			1	0
neznám			1	0
naše			1	0
chlapce			1	0
našeho			1	0
vašeho			1	0
vaše			1	0
naši			1	0
známe			1	0
znají			1	0
nás			1	0
chápou			1	0
nechápeš			1	0
chápu			1	0
nechápou			1	0
nechápe			1	0
nepotřebuju			1	0
nepotřebujeme			1	0
nepotřebuji			1	0
moje			1	0
tvoje			1	0
moji			1	0
jejího			1	0
můj			1	0
znáš			1	0
slyšíme			1	0
slyší			1	0
znám			1	0
zná			1	0
tvou			1	0
mou			1	0
mého			1	0
tvůj			1	0
tvého			1	0
slyším			1	0
neslyším			1	0
neslyšíme			1	0
koho			1	0
kniha			1	0
knihu			1	0
kterého			1	0
které			1	0
jaký			1	0
jakou			1	0
jakého			1	0
knihy			1	0
kterou			1	0
nedívá			1	0
nečekáme			1	0
tvoji			1	0
mí			1	0
mě			1	0
tě			1	0
tebe			1	0
mne			1	0
dívá			1	0
čekáš			1	0
čekáte			1	0
díváme			1	0
honí			1	0
pavouka			1	0
nehledáme			1	0
honíš			1	0
pavouk			1	0
nehledají			1	0
nehledáte			1	0
mouchy			1	0
pavouci			1	0
mouchu			1	0
pavouky			1	0
husu			1	0
ptáka			1	0
slepice			1	0
kachny			1	0
ptáci			1	0
kachna			1	0
slepici			1	0
husa			1	0
kachnu			1	0
husy			1	0
pták			1	0
hledá			1	0
medvěd			1	0
vlk			1	0
vlky			1	0
medvědy			1	0
lišku			1	0
lišky			1	0
liška			1	0
hledají			1	0
prase			1	0
kozy			1	0
hledám			1	0
hledáte			1	0
ovce			1	0
kráva			1	0
hledáš			1	0
krávu			1	0
koza			1	0
krávy			1	0
ovci			1	0
hledáme			1	0
osel			1	0
malou			1	0
osla			1	0
koně			1	0
osly			1	0
kůň			1	0
osli			1	0
malého			1	0
ryba			1	0
žere			1	0
žrádlo			1	0
žerou			1	0
ryby			1	0
prasata			1	0
nesnáší			1	0
rybu			1	0
nesnášíme			1	0
potřebuje			1	0
potřebuješ			1	0
rádi			1	0
potřebujeme			1	0
rády			1	0
ráda			1	0
potřebuji			1	0
vajíčka			1	0
kuře			1	0
mají			1	0
nemají			1	0
rád			1	0
rádo			1	0
nemáte			1	0
nejíte			1	0
nepijeme			1	0
nepijete			1	0
nejíme			1	0
nepijí			1	0
jedí			1	0
pijete			1	0
hrušku			1	0
polévka			1	0
hruška			1	0
jíme			1	0
jíte			1	0
hrušky			1	0
pijeme			1	0
pijou			1	0
polévku			1	0
máte			1	0
nemá			1	0
nepiju			1	0
nemáš			1	0
nepije			1	0
nejíš			1	0
kávu			1	0
nemám			1	0
máme			1	0
káva			1	0
jaké			1	0
jaký			1	0
jaká			1	0
vysoká			1	0
veliká			1	0
vysoký			1	0
veliké			1	0
nestaráš			1	0
nezajímá			1	0
nestarají			1	0
nestarám			1	0
jídla			1	0
nestaráme			1	0
jídlo			1	0
nezajímám			1	0
divadlo			1	0
zajímáš			1	0
stará			1	0
starám			1	0
staráme			1	0
zajímá			1	0
zajímám			1	0
nemyslím			1	0
nečeká			1	0
nemyslí			1	0
poslední			1	0
nedívám			1	0
nedíváme			1	0
nečekám			1	0
posledního			1	0
čekáme			1	0
dívám			1	0
čeká			1	0
čekám			1	0
myslí			1	0
díváte			1	0
myslíme			1	0
myslím			1	0
dívají			1	0
myš			1	0
myši			1	0
kočka			1	0
kočku			1	0
kočky			1	0
vidíte			1	0
vidíš			1	0
toho			1	0
nevidím			1	0
ty			1	0
vidím			1	0
vidíme			1	0
psy			1	0
psa			1	0
piješ			1	0
pije			1	0
vodu			1	0
voda			1	0
piju			1	0
sýr			1	0
jablka			1	0
jím			1	0
chléb			1	0
máš			1	0
mám			1	0
jablko			1	0
jíš			1	0
