learnable	type	translation	authoritative	is_regex
tour eiffel			1	0
il faut			1	0
visiter	verb		1	0
le plus			1	0
à pied			1	0
qu'			1	0
c'est			1	0
chez	preposition		1	0
quelle			1	0
les	determiner		1	0
la	determiner		1	0
ils	pronoun		1	0
moi	pronoun		1	0
à l'			1	0
pouvez-vous me dire			1	0
sacré-cœur			1	0
où			1	0
une	determiner		1	0
l'			1	0
ouest	noun		1	0
aller	verb		1	0
il y a			1	0
cette	determiner		1	0
office de tourisme			1	0
tu	pronoun		1	0
cathédrale	noun		1	0
retournons	verb		1	0
d'			1	0
voir	verb		1	0
argent	noun		1	0
sur	preposition		1	0
très	adverb		1	0
du	preposition		1	0
arriver	verb		1	0
sortir	verb		1	0
quelque chose			1	0
maintenant	adverb		1	0
demander	verb		1	0
onze	numeral		1	0
il	pronoun		1	0
j'ai			1	0
enchantée	adjective		1	0
finir	verb		1	0
parler	verb		1	0
m'			1	0
partir	verb		1	0
un	determiner		1	0
mon	determiner		1	0
à l'heure			1	0
plus	adverb		1	0
venons de			1	0
je	pronoun		1	0
elle	pronoun		1	0
toujours	adverb		1	0
bureau			1	0
viens de			1	0
notre	determiner		1	0
avoir	verb		1	0
enchanté			1	0
prendre	verb		1	0
votre	determiner		1	0
ce	determiner		1	0
prépare	verb		1	0
des	preposition		1	0
voilà	adverb		1	0
en			1	0
dans deux jours			1	0
tu vas			1	0
louvre	proper noun		1	0
va			1	0
vont	verb		1	0
vos	determiner		1	0
coûter	verb		1	0
ces	determiner		1	0
ou	conjunction		1	0
pour	preposition		1	0
vérifier	verb		1	0
pays	noun		1	0
plus de			1	0
vouloir	verb		1	0
le	determiner		1	0
nos	determiner		1	0
vais	verb		1	0
cet	determiner		1	0
chine	proper noun		1	0
pardon	interjection		1	0
faim	noun		1	0
vous	pronoun		1	0
à gauche			1	0
réveiller	verb		1	0
te	pronoun		1	0
à droite			1	0
réveillent			1	0
moins			1	0
brosser	verb		1	0
avant	preposition		1	0
huit	numeral		1	0
se	pronoun		1	0
deux	numeral		1	0
d'habitude			1	0
fais-tu			1	0
du matin			1	0
ne vous			1	0
que	pronoun		1	0
pas	adverb		1	0
de rien			1	0
tard	adverb		1	0
le soir			1	0
aujourd'hui			1	0
faire un voyage			1	0
se			1	0
quoi			1	0
faites-vous			1	0
trois	numeral		1	0
combien de			1	0
j'	pronoun		1	0
septième	adjective		1	0
beaucoup	adverb		1	0
la			1	0
mille	noun		1	0
grande	adjective		1	0
payer	verb		1	0
visité	verb		1	0
salle de bain			1	0
au	preposition		1	0
rez-de-chaussée	noun		1	0
payé	verb		1	0
combien	adverb		1	0
ceci	pronoun		1	0
huitième	adjective		1	0
cinq	numeral		1	0
est-ce que			1	0
sixième	adjective		1	0
france	proper noun		1	0
ses	determiner		1	0
souris	noun		1	0
loin	adverb		1	0
week-ends			1	0
beau	adjective		1	0
les plus			1	0
pêcher	verb		1	0
vieux			1	0
mes	determiner		1	0
cheval			1	0
super	adjective		1	0
gros	adjective		1	0
pelouse	noun		1	0
ton	determiner		1	0
ensemble	adverb		1	0
passer	verb		1	0
trop	adverb		1	0
grandes	adjective		1	0
aussi			1	0
ceux-là			1	0
tes	determiner		1	0
voulez-vous			1	0
celle-ci			1	0
rouge	adjective		1	0
ceux-ci			1	0
celle-là			1	0
celles-ci			1	0
chapeaux	noun		1	0
celui-ci			1	0
acheter	verb		1	0
celui-là			1	0
t-shirt			1	0
celles-là			1	0
entendu parler			1	0
ça va			1	0
dans la vie			1	0
quelques	determiner		1	0
mais	conjunction		1	0
et	conjunction		1	0
-vous			1	0
sommes	verb		1	0
leur	determiner		1	0
travail	noun		1	0
petit ami			1	0
toi	pronoun		1	0
plaire	verb		1	0
nager	verb		1	0
demain	adverb		1	0
restées	verb		1	0
si	conjunction		1	0
ma	determiner		1	0
au lieu de			1	0
voir			1	0
courir	verb		1	0
devrais	verb		1	0
ça a l'air			1	0
livres	noun		1	0
n'y en a pas			1	0
ils y			1	0
prêter	verb		1	0
dos	noun		1	0
les leur			1	0
montrer	verb		1	0
mal au			1	0
elles sont			1	0
elles	pronoun		1	0
en retard			1	0
rater	verb		1	0
couvrons	verb		1	0
n'			1	0
t'			1	0
prenons			1	0
attendent			1	0
son	determiner		1	0
rien du tout			1	0
pyrénées	proper noun		1	0
ouvrent			1	0
suis	verb		1	0
entend			1	0
certainement	adverb		1	0
répondez			1	0
couvrent	verb		1	0
souvent	adverb		1	0
couvrir			1	0
cadeaux	noun		1	0
leurs	determiner		1	0
accueilles	verb		1	0
parce qu'			1	0
pendant	preposition		1	0
ouvres			1	0
voici	adverb		1	0
froid	adjective		1	0
accueillent	verb		1	0
nouveau	adjective		1	0
là	adverb		1	0
attendre			1	0
attend			1	0
ici	adverb		1	0
devez	verb		1	0
ne	adverb		1	0
immédiatement	adverb		1	0
entendons			1	0
oiseaux	noun		1	0
réponds			1	0
attendre	verb		1	0
entendre			1	0
s'il te plaît			1	0
animal	noun		1	0
bon			1	0
nuits			1	0
journal			1	0
grand			1	0
compris	adjective		1	0
petit déjeuner			1	0
wi-fi			1	0
journaux	noun		1	0
