learnable	type	translation	authoritative	is_regex
snowboard	noun		1	0
toda la mañana			1	0
dicho sea de paso			1	0
un grupo de			1	0
cintura	noun		1	0
al revés			1	0
sin receta			1	0
evidentemente	adverb		1	0
lento	adverb		1	0
senderismo	noun		1	0
de ninguna manera			1	0
mira			1	0
vámonos	pronoun		1	0
estudios	noun		1	0
en serio			1	0
lo lamento			1	0
y después			1	0
de ancho			1	0
de alto			1	0
más			1	0
de regalo			1	0
aparentemente	adverb		1	0
chicos	noun		1	0
mil millones			1	0
sacacorchos	noun		1	0
a ver			1	0
después de que			1	0
de lo que			1	0
por nada			1	0
lo más importante			1	0
por anticipado			1	0
de otra manera			1	0
hoy en día			1	0
qué alivio			1	0
lo	pronoun		1	0
centroamérica	proper noun		1	0
aún así			1	0
únicamente	adverb		1	0
fueron invitados			1	0
todo recto			1	0
se supone que			1	0
ramadán	noun		1	0
ya me lo imagino			1	0
antes de tiempo			1	0
sí o sí			1	0
por otro lado			1	0
hasta que			1	0
sin descanso			1	0
habrá sido			1	0
a primera hora			1	0
gafas	noun		1	0
se está realizando			1	0
cualquier	adjective		1	0
avena	noun		1	0
semana santa			1	0
la mayoría de			1	0
de nada			1	0
a fin de cuentas			1	0
oíste que			1	0
nada	pronoun		1	0
a fin de			1	0
huevos revueltos			1	0
qué			1	0
a la vez	adverb		1	0
de casualidad			1	0
seguro social			1	0
bajo cero			1	0
a eso de	adverb		1	0
igual de			1	0
desgraciadamente	adverb		1	0
nombre de usuario			1	0
terrorismo	noun		1	0
de largo			1	0
bailando	verb		1	0
permanente	adverb		1	0
mantequilla de maní			1	0
como máximo			1	0
por lo menos			1	0
es fantástico que			1	0
habrá ido			1	0
hirviendo	verb		1	0
seguido	adverb		1	0
para que			1	0
niñez	noun		1	0
transporte			1	0
te lo			1	0
hablando de			1	0
al poco tiempo	adverb		1	0
es estresante que			1	0
relajación	noun		1	0
por último			1	0
cobre	noun		1	0
a continuación			1	0
forma de ser			1	0
por adelantado			1	0
claro que sí			1	0
habér	verb		1	0
palomitas de maíz			1	0
por lo que veo			1	0
de memoria			1	0
abrelatas	noun		1	0
es hora de			1	0
de madera			1	0
tesis	noun		1	0
impuntualidad	noun		1	0
qué bien			1	0
básicamente	adverb		1	0
qué interesante que			1	0
comodidades	noun		1	0
no pasa nada			1	0
bronquitis	noun		1	0
duro	adjective		1	0
qué tal			1	0
si mal no recuerdo			1	0
como	adverb		1	0
en estos tiempos			1	0
espera			1	0
en voz baja			1	0
siento mucho que			1	0
no te creo			1	0
en alquiler			1	0
en concreto			1	0
hasta ahora			1	0
de hecho			1	0
fatal	adjective		1	0
ni	conjunction		1	0
mientras tanto			1	0
antes de que			1	0
lejos	adverb		1	0
suegros	noun		1	0
escuela secundaria			1	0
dúplex	noun		1	0
totalmente	adverb		1	0
natación	noun		1	0
gusto	noun		1	0
pero			1	0
hacia atrás			1	0
poco después			1	0
por fuera			1	0
al contrario			1	0
desde que			1	0
atención médica			1	0
qué mal			1	0
a distancia			1	0
perfectamente	adverb		1	0
saludos			1	0
periodismo	noun		1	0
la mitad de			1	0
ojalá	interjection		1	0
demás	noun		1	0
lo interesante			1	0
astrología	noun		1	0
fuerte	adverb		1	0
por nada			1	0
en regla			1	0
siempre que			1	0
no está nada mal			1	0
al menos			1	0
me dices			1	0
ya veremos			1	0
previamente	adverb		1	0
después de todo			1	0
muy amable			1	0
que yo sepa			1	0
no hay por qué			1	0
fuegos artificiales			1	0
aunque sea			1	0
qué horror			1	0
sentido común			1	0
atletismo	noun		1	0
aquí mismo			1	0
no hay de qué			1	0
presente	noun		1	0
hay que			1	0
alrededores			1	0
desocupación	noun		1	0
oye			1	0
una vez más	adverb		1	0
gracias por			1	0
parachoques	noun		1	0
aún no	adverb		1	0
creatividad	noun		1	0
por completo	adverb		1	0
fibra	noun		1	0
por un lado			1	0
al aire libre			1	0
que	adverb		1	0
es una pena que			1	0
inesperadamente	adverb		1	0
cada	adjective		1	0
qué mala suerte			1	0
muchas gracias			1	0
lamento que			1	0
en familia			1	0
a la perfección			1	0
de toda la vida			1	0
correctamente	adverb		1	0
una vez			1	0
no hay problema			1	0
era necesario que			1	0
como mínimo			1	0
reencarnación	noun		1	0
ya que			1	0
no es cierto que			1	0
mano de obra			1	0
desorden	noun		1	0
atentamente	adverb		1	0
día de los muertos			1	0
desde ahora			1	0
primeros auxilios			1	0
tendencia	noun		1	0
sobre todo			1	0
brindis	noun		1	0
mil gracias			1	0
qué bien que			1	0
noroeste	adjective		1	0
mil disculpas			1	0
de tiempo parcial			1	0
al aire libre			1	0
cada vez más	adverb		1	0
datos	noun		1	0
cantando	verb		1	0
común	adjective		1	0
calentamiento	noun		1	0
por dentro			1	0
se han vendido			1	0
sudeste	noun		1	0
aluminio	noun		1	0
lo mismo que			1	0
decoración	noun		1	0
lo curioso			1	0
concreto	noun		1	0
debe haber			1	0
es una lástima que			1	0
próximamente	adverb		1	0
por lo visto			1	0
todo el día	adverb		1	0
metal	noun		1	0
lástima	noun		1	0
según			1	0
con tiempo			1	0
vaya			1	0
mente			1	0
veo que			1	0
debe haber sido			1	0
nadie más			1	0
hasta pronto			1	0
que			1	0
lo está			1	0
habría	verb		1	0
muchísimas gracias			1	0
urgencia	noun		1	0
amabilidad	noun		1	0
volviendo al tema			1	0
la verdad			1	0
en definitiva			1	0
no puede ser			1	0
salvo que			1	0
ecología	noun		1	0
puntualmente	adverb		1	0
a fondo			1	0
fue desarrollado			1	0
escuela primaria			1	0
brevemente	adverb		1	0
es que			1	0
horario de visita			1	0
guau			1	0
a propósito			1	0
yo no			1	0
chau	interjection		1	0
no me digas			1	0
lo raro			1	0
limpieza	noun		1	0
cariño	noun		1	0
colesterol	noun		1	0
janucá	noun		1	0
que	pronoun		1	0
se nota			1	0
no puede ser que			1	0
lo es			1	0
por lo tanto			1	0
qué raro que			1	0
al menos			1	0
uy			1	0
igual que			1	0
saludos	noun		1	0
yo sí			1	0
es decir			1	0
al rato			1	0
todo lo contrario			1	0
tiempo completo			1	0
de al lado			1	0
aquí tiene			1	0
vengas	verb		1	0
inmediatamente	adverb		1	0
y			1	0
pongas	verb		1	0
ser	verb		1	0
al	preposition		1	0
vas a			1	0
montar	verb		1	0
cuando	conjunction		1	0
cómo			1	0
casa			1	0
de	preposition		1	0
a			1	0
ve	verb		1	0
en			1	0
mis	determiner		1	0
vayas	verb		1	0
tienes que			1	0
estar	verb		1	0
para			1	0
abrigo			1	0
ponerte	pronoun		1	0
ese			1	0
allí	adverb		1	0
oficina de correos			1	0
ahora	adverb		1	0
es	verb		1	0
saber	verb		1	0
si	conjunction		1	0
ir	verb		1	0
sin			1	0
con			1	0
nunca	adverb		1	0
el	determiner		1	0
porque	conjunction		1	0
tengas	verb		1	0
salgas	verb		1	0
tu			1	0
limpiar	verb		1	0
en el			1	0
hace frío			1	0
va a			1	0
de			1	0
deberías	verb		1	0
no	adverb		1	0
restaurante			1	0
hagas	verb		1	0
salir	verb		1	0
mañana	adverb		1	0
hay	verb		1	0
ver	verb		1	0
qué	pronoun		1	0
nadar	verb		1	0
