learnable	type	translation	authoritative	is_regex
mamy			1	0
to			1	0
chłopiec			1	0
nie			1	0
ma			1	0
lubię			1	0
tego			1	0
jego			1	0
jest			1	0
je			1	0
są			1	0
ryby			1	0
ta			1	0
nowe			1	0
pomidora			1	0
gazety			1	0
kawy			1	0
i			1	0
on			1	0
nowa			1	0
ona			1	0
potrzebuje			1	0
macie			1	0
lubi			1	0
potrzebuję			1	0
ten			1	0
patelni			1	0
szklanek			1	0
dziewczynka			1	0
mężczyźni			1	0
nie			1	0
to			1	0
zwierzę			1	0
widzimy			1	0
dobra			1	0
gdzie			1	0
ściany			1	0
klucza			1	0
kobiety			1	0
potrzebujemy			1	0
mają			1	0
te			1	0
nowy			1	0
duży			1	0
lubią			1	0
czy			1	0
portfel			1	0
masz			1	0
oni			1	0
ty			1	0
mam			1	0
potrzebujesz			1	0
golarki			1	0
pryszniców			1	0
szczoteczka do zębów			1	0
duża			1	0
nosisz			1	0
dlaczego			1	0
nosi			1	0
potrzebują			1	0
noszę			1	0
do			1	0
idzie			1	0
kobieta			1	0
słucha			1	0
ich			1	0
stary			1	0
słucham			1	0
kocham			1	0
małe			1	0
tamta			1	0
pije			1	0
mała			1	0
stare			1	0
pijesz			1	0
mysz			1	0
jesz			1	0
jajko			1	0
ser			1	0
małe			1	0
herbatę			1	0
obiad			1	0
koń			1	0
pies			1	0
kolacja			1	0
śniadanie			1	0
posiłek			1	0
spódnica			1	0
chleb			1	0
lubimy			1	0
chłopca			1	0
ryba			1	0
ubrania			1	0
płaszcz			1	0
wodę			1	0
spodnie			1	0
ryba			1	0
brązowe			1	0
fioletowy			1	0
lew			1	0
mężczyzna			1	0
herbata			1	0
kanapka			1	0
pająk			1	0
zły			1	0
kot			1	0
zła			1	0
tamten			1	0
kaczka			1	0
kawa			1	0
mleko			1	0
mały			1	0
stara			1	0
smaczna			1	0
pomidor			1	0
kolację			1	0
woda			1	0
wino			1	0
jedzą			1	0
zupa			1	0
jem			1	0
krab			1	0
dziecko			1	0
dobre			1	0
dobry			1	0
dziewczynki			1	0
znamy			1	0
tamtej			1	0
chłopcy			1	0
jabłko			1	0
widzę			1	0
znam			1	0
pisze			1	0
mężczyzną			1	0
idziemy			1	0
ja			1	0
nosimy			1	0
my			1	0
go			1	0
jedzenie			1	0
kochacie			1	0
ciasteczko			1	0
jestem			1	0
wy			1	0
ciasteczka			1	0
lubisz			1	0
mówisz			1	0
dziękuję			1	0
tamte			1	0
mówi			1	0
po południu			1	0
zwierzęta			1	0
dzień dobry			1	0
po angielsku			1	0
piszę			1	0
słuchają			1	0
mężczyznę			1	0
idziecie			1	0
tego			1	0
idziesz			1	0
mówicie			1	0
tamtego			1	0
psa			1	0
tak			1	0
po polsku			1	0
widzisz			1	0
mężczyzny			1	0
kobiety			1	0
chodzi			1	0
chodzisz			1	0
potrzebujecie			1	0
dobre			1	0
słuchacie			1	0
kota			1	0
konia			1	0
kochasz			1	0
kobietę			1	0
zna			1	0
dzieci			1	0
tę			1	0
koty			1	0
psy			1	0
kaczki			1	0
konie			1	0
do widzenia			1	0
dobranoc			1	0
piję			1	0
cześć			1	0
przepraszam			1	0
mówię			1	0
dobrze			1	0
pa			1	0
witaj			1	0
sok			1	0
źli			1	0
ludzie			1	0
zupę			1	0
kawę			1	0
kanapkę			1	0
one			1	0
mięso			1	0
tygrys			1	0
owoce			1	0
kiedy			1	0
ciebie			1	0
nawzajem			1	0
już			1	0
nigdy			1	0
wśród			1	0
jesteśmy			1	0
na			1	0
nam			1	0
warzywo			1	0
